,name,vn_kv,vm_pu,va_degree
0,Haywards 220 kV,220.0,1.02,0.0
1,Bunnythorpe 220 kV,220.0,1.0039431647315842,-2.5684443656207927
2,Hamilton 220 kV,220.0,0.9849525060718479,-6.293438737892459
3,Otahuhu 220 kV,220.0,0.9787442913631274,-8.494568840977788
4,Wilton 33 kV,33.0,1.0019515432718997,-2.654593659859286
