,name,from_bus,to_bus,p_from_mw,q_from_mvar,loading_percent
0,Haywards-Bunnythorpe,0,1,456.493111424039,122.75265164136201,81.08877215474118
1,Bunnythorpe-Hamilton,1,2,454.27410746422834,100.74948245710635,81.09464738309288
2,Hamilton-Otahuhu,2,3,301.16697017310105,24.858569296120518,53.67943995703428
