line_name,loading_with_cap_percent,loading_without_cap_percent,loading_change_percent
Haywards-Bunnythorpe,81.08877215474118,86.21012608174242,-5.121353927001238
Bunnythorpe-Hamilton,81.09464738309288,86.22086969028344,-5.1262223071905595
Hamilton-Otahuhu,53.67943995703428,57.8251351474093,-4.145695190375015
